,Unnamed: 0,original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik,tokenized_text,stopword_tokenized,lemmatized_text
0,98,basherrl heh kontol jan sok pemes kamu di rp muka kek memek org tua kamu kek monyet agama kamu aje agama kontol,twitter,1,0,0,1,"['basherrl', 'heh', 'kontol', 'jan', 'sok', 'pemes', 'kamu', 'di', 'rp', 'muka', 'kek', 'memek', 'org', 'tua', 'kamu', 'kek', 'monyet', 'agama', 'kamu', 'aje', 'agama', 'kontol']","['basherrl', 'heh', 'kontol', 'jan', 'sok', 'pemes', 'rp', 'muka', 'kek', 'memek', 'org', 'tua', 'kek', 'monyet', 'agama', 'aje', 'agama', 'kontol']",basherrl heh kontol jan sok pemes rp muka kek memek org tua kek monyet agama aje agama kontol
1,272,kontol mana kontol memek ganas mencari im coming baby sodok memek tika yang ganas ahh lagi ganas pagi ini memek tika uhh,twitter,1,0,0,0,"['kontol', 'mana', 'kontol', 'memek', 'ganas', 'mencari', 'im', 'coming', 'baby', 'sodok', 'memek', 'tika', 'yang', 'ganas', 'ahh', 'lagi', 'ganas', 'pagi', 'ini', 'memek', 'tika', 'uhh']","['kontol', 'kontol', 'memek', 'ganas', 'mencari', 'im', 'coming', 'baby', 'sodok', 'memek', 'tika', 'ganas', 'ahh', 'ganas', 'pagi', 'memek', 'tika', 'uhh']",kontol kontol memek ganas mencari im coming baby sodok memek tika ganas ahh ganas pagi memek tika uhh
2,666,quoteadopt rapeafaacebbpatahkan kntolnyann madquotennudah habis sabun dikamar mandi saatnya nasbung mengangkat kontoinya turun ke jalan menjemput binaragawan surga mad,kaskus,1,0,0,0,"['quoteadopt', 'rapeafaacebbpatahkan', 'kntolnyann', 'madquotennudah', 'habis', 'sabun', 'dikamar', 'mandi', 'saatnya', 'nasbung', 'mengangkat', 'kontoinya', 'turun', 'ke', 'jalan', 'menjemput', 'binaragawan', 'surga', 'mad']","['quoteadopt', 'rapeafaacebbpatahkan', 'kntolnyann', 'madquotennudah', 'habis', 'sabun', 'dikamar', 'mandi', 'nasbung', 'mengangkat', 'kontoinya', 'turun', 'jalan', 'menjemput', 'binaragawan', 'surga', 'mad']",quoteadopt rapeafaacebbpatahkan kntolnyann madquotennudah habis sabun dikamar mandi nasbung mengangkat kontoinya turun jalan menjemput binaragawan surga mad
3,626,ihh badan nya laki banget ya apalagi pantat paha dan kakinya uppsstt meki nya kok rada lain ya op maren pkk bpjs ya mas fattah jadi kayak begitu meki nya,instagram,1,0,0,1,"['ihh', 'badan', 'nya', 'laki', 'banget', 'ya', 'apalagi', 'pantat', 'paha', 'dan', 'kakinya', 'uppsstt', 'meki', 'nya', 'kok', 'rada', 'lain', 'ya', 'op', 'maren', 'pkk', 'bpjs', 'ya', 'mas', 'fattah', 'jadi', 'kayak', 'begitu', 'meki', 'nya']","['ihh', 'badan', 'laki', 'banget', 'pantat', 'paha', 'kakinya', 'uppsstt', 'meki', 'rada', 'op', 'maren', 'pkk', 'bpjs', 'mas', 'fattah', 'kayak', 'meki']",ihh badan laki banget pantat paha kakinya uppsstt meki rada op maren pkk bpjs ma fattah kayak meki
4,490,smuterpe srp ngghh aghh fasterr pleasehh entot memek lonte yang haus kontol ini aghh aghh jepit kntol di memek taruh tngan km di toket,twitter,1,0,0,0,"['smuterpe', 'srp', 'ngghh', 'aghh', 'fasterr', 'pleasehh', 'entot', 'memek', 'lonte', 'yang', 'haus', 'kontol', 'ini', 'aghh', 'aghh', 'jepit', 'kntol', 'di', 'memek', 'taruh', 'tngan', 'km', 'di', 'toket']","['smuterpe', 'srp', 'ngghh', 'aghh', 'fasterr', 'pleasehh', 'entot', 'memek', 'lonte', 'haus', 'kontol', 'aghh', 'aghh', 'jepit', 'kntol', 'memek', 'taruh', 'tngan', 'km', 'toket']",smuterpe srp ngghh aghh fasterr pleasehh entot memek lonte haus kontol aghh aghh jepit kntol memek taruh tngan km toket
5,636,bahan coli sexy bispak birahi toket puting jilmek seks kontol bokepsemi bokepindo sepong amoy bisyar lonte jablay crot igo amoysange panlok sange ngewe memek tante ngentot sex janda sange aahpic twitter comphdouqpvj,twitter,1,0,0,0,"['bahan', 'coli', 'sexy', 'bispak', 'birahi', 'toket', 'puting', 'jilmek', 'seks', 'kontol', 'bokepsemi', 'bokepindo', 'sepong', 'amoy', 'bisyar', 'lonte', 'jablay', 'crot', 'igo', 'amoysange', 'panlok', 'sange', 'ngewe', 'memek', 'tante', 'ngentot', 'sex', 'janda', 'sange', 'aahpic', 'twitter', 'comphdouqpvj']","['bahan', 'coli', 'sexy', 'bispak', 'birahi', 'toket', 'puting', 'jilmek', 'seks', 'kontol', 'bokepsemi', 'bokepindo', 'sepong', 'amoy', 'bisyar', 'lonte', 'jablay', 'crot', 'igo', 'amoysange', 'panlok', 'sange', 'ngewe', 'memek', 'tante', 'ngentot', 'sex', 'janda', 'sange', 'aahpic', 'twitter', 'comphdouqpvj']",bahan coli sexy bispak birahi toket puting jilmek seks kontol bokepsemi bokepindo sepong amoy bisyar lonte jablay crot igo amoysange panlok sange ngewe memek tante ngentot sex janda sange aahpic twitter comphdouqpvj
6,376,mendinglah dari pada pendeta yang bunuh anak asuhnya di gereja dah jadi mayat baru di entiaw,kaskus,1,0,0,1,"['mendinglah', 'dari', 'pada', 'pendeta', 'yang', 'bunuh', 'anak', 'asuhnya', 'di', 'gereja', 'dah', 'jadi', 'mayat', 'baru', 'di', 'entiaw']","['mendinglah', 'pendeta', 'bunuh', 'anak', 'asuhnya', 'gereja', 'dah', 'mayat', 'entiaw']",mendinglah pendeta bunuh anak asuhnya gereja dah mayat entiaw
7,611,pikii x y z maka jumlah bulu ketek saipul jamil adalah helai bang tidak lebih lebat dari jembut,twitter,1,0,0,0,"['pikii', 'x', 'y', 'z', 'maka', 'jumlah', 'bulu', 'ketek', 'saipul', 'jamil', 'adalah', 'helai', 'bang', 'tidak', 'lebih', 'lebat', 'dari', 'jembut']","['pikii', 'x', 'y', 'z', 'bulu', 'ketek', 'saipul', 'jamil', 'helai', 'bang', 'lebat', 'jembut']",pikii x y z bulu ketek saipul jamil helai bang lebat jembut
8,423,astajim kagets nnsubannalloh abis ini pasti anus asu digoyang pakai isu pki cinak komunis liberal anak oey hong liong cukong singapur pimpinan pki boyolali anak angkat widjiati antek aseng asing salibis liberal biar dia lengser bray kagets,kaskus,1,0,0,1,"['astajim', 'kagets', 'nnsubannalloh', 'abis', 'ini', 'pasti', 'anus', 'asu', 'digoyang', 'pakai', 'isu', 'pki', 'cinak', 'komunis', 'liberal', 'anak', 'oey', 'hong', 'liong', 'cukong', 'singapur', 'pimpinan', 'pki', 'boyolali', 'anak', 'angkat', 'widjiati', 'antek', 'aseng', 'asing', 'salibis', 'liberal', 'biar', 'dia', 'lengser', 'bray', 'kagets']","['astajim', 'kagets', 'nnsubannalloh', 'abis', 'anus', 'asu', 'digoyang', 'pakai', 'isu', 'pki', 'cinak', 'komunis', 'liberal', 'anak', 'oey', 'hong', 'liong', 'cukong', 'singapur', 'pimpinan', 'pki', 'boyolali', 'anak', 'angkat', 'widjiati', 'antek', 'aseng', 'asing', 'salibis', 'liberal', 'biar', 'lengser', 'bray', 'kagets']",astajim kagets nnsubannalloh abis anus asu digoyang pakai isu pki cinak komunis liberal anak oey hong liong cukong singapur pimpinan pki boyolali anak angkat widjiati antek aseng asing salibis liberal biar lengser bray kagets
9,705,mnurut gua sih terserah ka lucinta luna saja yang penting bukan gua yang pamer tete selagi dia bahagia why not,instagram,1,0,0,0,"['mnurut', 'gua', 'sih', 'terserah', 'ka', 'lucinta', 'luna', 'saja', 'yang', 'penting', 'bukan', 'gua', 'yang', 'pamer', 'tete', 'selagi', 'dia', 'bahagia', 'why', 'not']","['mnurut', 'gua', 'sih', 'terserah', 'ka', 'lucinta', 'luna', 'gua', 'pamer', 'tete', 'selagi', 'bahagia', 'why', 'not']",mnurut gua sih terserah ka lucinta luna gua pamer tete selagi bahagia why not
