id,comment_text,toxic,severe_toxic,obscene,insult,threat,identity_hate,,
0000997932d777bf,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,0,0,1,0,0,,
000103f0d9cfb60f,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,0,0,0,0,0,,
000113f07ec002fd,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,,
0001b41b1c6bb37e,USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,,
0001d958c54c6e35,USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,0,0,1,0,1,,
00025465d4725e87,USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,0,0,0,0,1,,
0002bcb3da6cb337,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,,
00031b1e95af7921,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,0,0,0,0,0,,
00037261f536c51d,"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,0,0,0,0,,
00040093b2687caa,USER Enak lg klo smbil ngewe',1,0,1,0,0,0,,
0005300084f90edc,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,0,0,0,0,0,,
00054a5e18b50dd4,USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,0,0,1,0,0,,
0005c987bdfc9d4b,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,,
0006f16e4e9f292e,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,0,0,0,0,,
00070ef96486d6f9,USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,0,1,1,0,0,,
00078f8ce7eb276d,"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,0,1,0,1,,
0007e25b2121310b,Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,,
000897889268bc93,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,0,0,0,0,0,,
0009801bd85e5806,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,0,0,0,0,1,,
0009eaea3325de8c,USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,,
000b08c464718505,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,0,0,0,0,0,,
000bfd0867774845,USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,,
000c0dfd995809fa,"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,,
000c6a3f0cd3ba8e,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,,
000cfee90f50d471,Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,,
000eefc67a2c930f,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",0,0,0,0,0,0,,
000f35deef84dc4a,Ini si USER kerjaannya delay mulu! Setan!',1,0,0,0,0,1,,
000ffab30195c5e1,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,,
0010307a3a50a353,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,0,0,1,,
0010833a96e1f886,USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,0,0,0,0,0,,
0011cc71398479c4,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,0,0,1,,
00128363e367d703,Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',1,0,1,0,0,0,,
001325b8b20ea8aa,USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,,
001363e1dbe91225,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",1,0,1,0,0,0,,
0013a8b1a5f26bcb,"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,,
00148d055a169b93,Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,0,0,0,0,1,,
00151a9f93c6b059,\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,0,0,0,1,0,,
0015f4aa35ebe9b5,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,,
00169857adbc989b,USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,,
0016e01b742b8da3,Edan emang goollnya fabiano!!',0,0,0,0,0,0,,
001735f961a23fc4,GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,0,0,1,0,1,,
00173958f46763a2,"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,,
001810bf8c45bf5f,Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,0,0,1,0,1,,
